排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,社会声誉（社会捐赠收入·千元）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,成果转化（技术转让收入·千元）,学生国际化（留学生比例）
150,长沙理工大学,湖南,31.7,53.9,96.47%,10431,2867,0.736,31,1,99471,700,0.44%
151,西南政法大学,重庆,31.4,60.1,91.50%,508,107,0.647,2,0,1590,0,0.16%
152,渤海大学,辽宁,31.3,34.9,93.51%,1726,1732,>1.560,109,2,8429,80,2.10%
152,重庆工商大学,重庆,31.3,41.9,92.16%,0,1008,1.386,53,1,5914,2669,0.18%
152,福建师范大学,福建,31.3,45.2,97.17%,0,3340,0.962,68,1,15856,15016,2.67%
152,天津师范大学,天津,31.3,48.3,93.57%,0,1803,1.007,34,2,7590,192,1.89%
156,曲阜师范大学,山东,31.2,36.7,92.44%,300,2311,1.529,112,0,1995,0,0.21%
156,三峡大学,湖北,31.2,49.6,92.96%,3539,2636,0.854,37,0,88151,200,3.35%
158,北京工商大学,北京,31.1,51.7,99.54%,2059,1509,0.767,10,0,39611,2984,0.97%
158,西安理工大学,陕西,31.1,54.7,92.40%,0,4115,0.641,34,0,126279,661,0.02%
158,浙江农林大学,浙江,31.1,41.7,97.92%,16349,1813,1.128,48,2,79839,516,2.81%
161,广西师范大学,广西,31.0,47.0,93.71%,2706,1884,1.028,42,1,5900,328,1.25%
161,温州大学,浙江,31.0,44.7,97.64%,1883,2346,1.055,40,0,8979,170,1.87%
163,湖北工业大学,湖北,30.9,51.1,96.53%,3333,1730,0.750,12,1,115272,1190,1.34%
163,四川农业大学,四川,30.9,48.8,97.24%,6019,4366,0.830,32,0,43502,3180,0.08%
165,重庆邮电大学,重庆,30.8,48.4,95.65%,3822,2575,0.820,53,1,38765,14557,1.22%
165,河北师范大学,河北,30.8,51.0,95.13%,1330,1989,0.816,18,1,17762,1200,0.54%
165,河南师范大学,河南,30.8,45.6,91.23%,0,3827,1.009,76,2,55775,5834,0.01%
168,北京体育大学,北京,30.7,54.2,98.79%,0,172,0.667,1,0,0,0,1.29%
168,常州大学,江苏,30.7,45.0,98.33%,0,3784,0.925,57,0,94011,177,0.56%
168,天津工业大学,天津,30.7,46.7,94.66%,0,4267,0.845,53,3,131426,210,0.82%
171,石家庄铁道大学,河北,30.6,55.2,96.20%,0,1234,0.557,8,1,52115,1000,1.95%
172,中国计量大学,浙江,30.4,47.8,97.03%,3173,2899,0.850,43,0,36120,666,0.24%
173,海南大学,海南,30.3,46.9,92.40%,3460,2101,0.983,28,0,9516,350,0.72%
173,江苏科技大学,江苏,30.3,45.5,98.58%,5510,2580,0.851,39,1,78741,25,1.60%
175,安徽财经大学,安徽,30.2,49.4,92.59%,531,277,0.940,2,0,420,0,0.06%
175,北京建筑大学,北京,30.2,48.5,96.89%,2803,1048,0.769,16,0,182330,200,0.82%
175,中南民族大学,湖北,30.2,45.0,93.50%,2231,1795,1.049,40,1,8777,50,0.00%
178,安徽工业大学,安徽,30.1,41.7,97.18%,754,2225,0.990,52,0,41520,36660,0.32%
178,北京物资学院,北京,30.1,38.1,98.41%,1625,149,1.355,6,0,0,0,0.24%
178,南通大学,江苏,30.1,43.5,98.42%,4558,5134,0.851,37,1,80805,480,1.39%
